gvkey,conm,tic,cusip,cik,sic,fyear,datadate,at,restatement
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2022,20221231,93469.4000,0
001440,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2023,20231231,96684.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2010,20101231,147042.0000,1
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2011,20111231,153337.0000,1
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2012,20121231,153140.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2013,20131231,153375.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2014,20141231,159103.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2015,20151231,161184.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2016,20161231,158893.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2017,20171231,181159.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2018,20181231,188602.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2019,20191231,198321.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2020,20201231,191367.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2021,20211231,188548.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2022,20221231,228354.0000,0
001447,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,2023,20231231,261108.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2010,20101231,101039.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2011,20111231,117102.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2012,20121231,131094.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2013,20131231,121307.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2014,20141231,119767.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2015,20151231,118296.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2016,20161231,129819.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2017,20171231,137217.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2018,20181231,140406.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2019,20191231,152768.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2020,20201231,165086.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2021,20211231,157542.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2022,20221231,131017.0000,0
001449,AFLAC INC,AFL,001055102,0000004977,6321,2023,20231231,126724.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2010,20101231,683443.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2011,20111231,555773.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2012,20121231,548633.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2013,20131231,541329.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2014,20141231,515581.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2015,20151231,496943.0000,1
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2016,20161231,498264.0000,1
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2017,20171231,498301.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2018,20181231,491984.0000,1
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2019,20191231,525064.0000,1
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2020,20201231,586481.0000,1
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2021,20211231,596112.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2022,20221231,526634.0000,0
001487,AMERICAN INTERNATIONAL GROUP,AIG,026874784,0000005272,6331,2023,20231231,539306.0000,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2010,20101231,3818.9150,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2011,20111231,4319.4900,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2012,20121231,5190.0560,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2013,20131231,5877.9020,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2014,20141231,6420.9630,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2015,20151231,6664.5300,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2016,20161231,7100.6740,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2017,20171231,7796.0640,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2018,20181231,8662.2880,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2019,20191231,9844.5590,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2020,20201231,10357.4830,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2021,20211231,11898.1870,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2022,20221231,12431.1200,0
001598,AMETEK INC,AME,031100100,0001037868,3823,2023,20231231,15023.5330,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2010,20101231,43486.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2011,20111231,48871.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2012,20121231,54298.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2013,20131231,66125.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2014,20141231,69009.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2015,20151231,71576.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2016,20161231,77626.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2017,20171231,79954.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2018,20181231,66416.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2019,20191231,59707.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2020,20201231,62948.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2021,20211231,61165.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2022,20221231,65121.0000,0
001602,AMGEN INC,AMGN,031162100,0000318154,2836,2023,20231231,97154.0000,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2010,20101031,4328.8310,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2011,20111031,5277.6350,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2012,20121031,5620.3470,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2013,20131031,6381.7500,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2014,20141031,6859.6900,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2015,20151031,7062.1780,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2016,20161031,7970.2780,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2017,20171031,21141.2940,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2018,20181031,20449.7790,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2019,20191031,21392.6410,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2020,20201031,21468.6030,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2021,20211031,52322.0710,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2022,20221031,50302.3500,0
001632,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,2023,20231031,48794.4780,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2010,20101231,43425.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2011,20111231,52051.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2012,20121231,60737.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2013,20131231,61637.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2014,20141231,55952.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2015,20151231,18842.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2016,20161231,22519.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2017,20171231,21922.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2018,20181231,21582.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2019,20191231,18107.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2022,20221231,13147.0000,0
001678,APA CORP,APA,03743Q108,0001841666,1311,2023,20231231,15244.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2010,20100930,75183.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2011,20110930,116371.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2012,20120930,176064.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2013,20130930,207000.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2014,20140930,231839.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2015,20150930,290479.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2016,20160930,321686.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2017,20170930,375319.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2018,20180930,365725.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2019,20190930,338516.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2020,20200930,323888.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2021,20210930,351002.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2022,20220930,352755.0000,0
001690,APPLE INC,AAPL,037833100,0000320193,3663,2023,20230930,352583.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2010,20101031,10943.3450,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2011,20111031,13861.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2012,20121031,12102.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2013,20131031,12043.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2014,20141031,13174.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2015,20151031,15308.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2016,20161031,14588.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2017,20171031,19419.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2018,20181031,17773.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2019,20191031,19024.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2020,20201031,22353.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2021,20211031,25825.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2022,20221031,26726.0000,0
001704,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,2023,20231031,30729.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2010,20100630,31548.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2011,20110630,42193.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2012,20120630,41553.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2013,20131231,43752.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2014,20141231,44027.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2015,20151231,40157.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2016,20161231,39769.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2017,20171231,39963.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2018,20181231,40833.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2019,20191231,43997.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2020,20201231,49719.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2021,20211231,56136.0000,0
001722,ARCHER-DANIELS-MIDLAND CO,ADM,039483102,0000007084,2070,2022,20221231,59774.0000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2010,20110131,2787.6000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2011,20120131,3227.8000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2012,20130131,4308.4000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2013,20140131,4595.0000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2014,20150131,4913.8000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2015,20160131,5515.3000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2016,20170131,4798.1000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2020,20210131,7279.8000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2021,20220131,8606.8000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2022,20230131,9438.0000,0
001878,AUTODESK INC,ADSK,052769106,0000769397,7370,2023,20240131,9912.0000,0
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,2010,20100630,26862.2000,0
